,pitch_complexity
output/sonata05-1_fragment_64.musicxml,1.6666666666666665
output/sonata21-4_fragment_29.musicxml,1.9090909090909092
output/sonata06-2_fragment_0.musicxml,1.0
output/sonata14-3_fragment_18.musicxml,2.78125
output/sonata27-2_fragment_42.musicxml,4.058333333333334
output/sonata19-2_fragment_19.musicxml,2.7130434782608694
output/sonata16-2_fragment_0.musicxml,1.7430555555555554
output/sonata09-3_fragment_29.musicxml,2.333333333333333
output/sonata16-1_fragment_18.musicxml,3.4675324675324672
output/sonata17-1_fragment_46.musicxml,2.0642276422764225
output/sonata29-4_fragment_5.musicxml,2.071428571428571
output/sonata32-1_fragment_14.musicxml,3.5913978494623655
output/sonata18-4_fragment_59.musicxml,1.9230769230769231
output/sonata14-3_fragment_47.musicxml,2.291666666666667
output/sonata29-4_fragment_7.musicxml,2.9565217391304346
output/sonata07-1_fragment_18.musicxml,0.7950819672131147
output/sonata04-3_fragment_20.musicxml,1.75
output/sonata25-3_fragment_10.musicxml,2.668269230769231
output/sonata04-2_fragment_4.musicxml,2.262857142857143
output/sonata28-1_fragment_14.musicxml,1.806395916222506
output/sonata26-3_fragment_38.musicxml,1.959036144578313
output/sonata18-2_fragment_9.musicxml,4.065573770491803
output/sonata10-1_fragment_39.musicxml,4.166666666666666
output/sonata16-1_fragment_8.musicxml,4.0
output/sonata17-3_fragment_15.musicxml,4.0
output/sonata08-3_fragment_18.musicxml,1.6666666666666665
output/sonata18-4_fragment_54.musicxml,1.9565217391304348
output/sonata16-3_fragment_20.musicxml,1.6068421052631576
output/sonata05-2_fragment_10.musicxml,3.3428571428571434
output/sonata15-4_fragment_12.musicxml,2.7023809523809526
output/sonata01-4_fragment_12.musicxml,2.676470588235294
output/sonata27-2_fragment_0.musicxml,3.48
output/sonata25-2_fragment_1.musicxml,2.5285714285714285
output/sonata04-1_fragment_9.musicxml,1.2733333333333334
output/sonata32-2_fragment_11.musicxml,5.594737594737595
output/sonata15-2_fragment_3.musicxml,2.6763784461152884
output/sonata10-1_fragment_49.musicxml,2.3885267275097783
output/sonata26-1_fragment_44.musicxml,1.7142857142857144
output/sonata08-3_fragment_14.musicxml,1.6439393939393938
output/sonata19-1_fragment_2.musicxml,2.857142857142857
output/sonata10-1_fragment_20.musicxml,4.434108527131782
output/sonata22-1_fragment_8.musicxml,27/5
output/sonata15-4_fragment_34.musicxml,4.0
output/sonata23-3_fragment_54.musicxml,3.4303030303030306
output/sonata08-3_fragment_2.musicxml,1.6712962962962963
output/sonata27-2_fragment_35.musicxml,3.5605194805194804
output/sonata21-3_fragment_78.musicxml,3.202477739063105
output/sonata21-3_fragment_142.musicxml,1.7149999999999999
output/sonata12-1_fragment_35.musicxml,3.052631578947368
output/sonata17-2_fragment_8.musicxml,1.9724842767295598
output/sonata28-1_fragment_1.musicxml,1.4647940074906367
output/sonata25-1_fragment_13.musicxml,2.1754385964912277
output/sonata17-3_fragment_19.musicxml,3.142857142857143
output/sonata24-1_fragment_17.musicxml,3.142857142857143
output/sonata29-2_fragment_9.musicxml,1.373843566021867
output/sonata10-1_fragment_2.musicxml,3.2554347826086953
output/sonata26-3_fragment_48.musicxml,3.868717948717949
output/sonata13-4_fragment_15.musicxml,4.245614035087719
output/sonata29-4_fragment_0.musicxml,7.695695349941712
output/sonata26-1_fragment_2.musicxml,2.5405405405405403
output/sonata32-2_fragment_8.musicxml,3.4074074074074074
output/sonata11-4_fragment_2.musicxml,3.9324675324675322
output/sonata32-2_fragment_38.musicxml,7.575757575757576
output/sonata21-1_fragment_41.musicxml,3.190909090909091
output/sonata26-1_fragment_13.musicxml,0.9388706140350878
output/sonata09-2_fragment_40.musicxml,0.7875613747954173
output/sonata21-3_fragment_59.musicxml,2.3523035230352303
output/sonata17-1_fragment_44.musicxml,2.1043956043956045
output/sonata01-4_fragment_35.musicxml,3.143835616438356
output/sonata32-1_fragment_38.musicxml,2.571428571428571
output/sonata21-4_fragment_25.musicxml,0.96875
output/sonata19-2_fragment_18.musicxml,3.083333333333333
output/sonata02-1_fragment_16.musicxml,3.4166666666666665
output/sonata04-3_fragment_7.musicxml,0.8472222222222222
output/sonata14-3_fragment_6.musicxml,3.4545454545454546
output/sonata27-1_fragment_8.musicxml,4.052631578947368
output/sonata06-1_fragment_31.musicxml,2.6085714285714285
